Timestamp,Your graduation year?,"Knowledge and Interest Level [whens, whys, and hows... transistors as switches - controlling big loads from tiny computers]","Knowledge and Interest Level [whens, whys, and hows... H-Bridges for switching]","Knowledge and Interest Level [whens, whys, and hows... protection diodes on inductive loads]","Knowledge and Interest Level [whens, whys, and hows... pull-up, pull-down, current limiting, and voltage-dividing resistors]","Knowledge and Interest Level [whens, whys, and hows... different types of motors - ""why a hacked servo isn't the solution to all of your problems""]","Knowledge and Interest Level [whens, whys, and hows... Datasheets: relevant info from 40 pages on a resistor]","Knowledge and Interest Level [whens, whys, and hows... prototyping techniques from breadboard to wirewrap]","Knowledge and Interest Level [whens, whys, and hows... circuit board design and fabrication]","Knowledge and Interest Level [orders of magnitude: estimating power draw for sensing, thinking, and doing.]",Knowledge and Interest Level [orders of magnitude: estimation for prototyping.],"Knowledge and Interest Level [types of microcontrollers: architectures, peripherals, and families]",Knowledge and Interest Level [digital communication: data buses and moving information around],Comments on the above?,"Knowledge and Interest Level [Soldering: Surface Mount, Through-Hole, Freeform. The good, bad, and ugly.]","Knowledge and Interest Level [where to go when it doesn't work: application notes, reference designs, forums and more in the EE world.]","Knowledge and Interest Level [lab equipment: advanced usage. - ""what's the trigger knob do?""]",Classes you've taken or are taking?,Comments.
2/28/2011 11:44:10,2011,"Know it, useless.",Don't know. Sounds interesting.,Don't know. Don't care.,"Know it, useless.",Don't know. Don't care.,"Know it, live it, want more.",Don't know. Sounds interesting.,Don't know. Sounds interesting.,"Know it, live it, want more.","Know it, live it, want more.",Don't know. Don't care.,Don't know. Don't care.,,Don't know. Sounds interesting.,Don't know. Don't care.,Don't know. Sounds interesting.,"POE, ModCon, ModCon II, SCOPE"
2/28/2011 12:13:57,2011,"Know it, live it, want more.",Don't know. Sounds interesting.,Don't know. Sounds interesting.,"Know it, live it, want more.","Know it, live it, want more.",Don't know. Don't care.,"Know it, live it, want more.","Know it, live it, want more.","Know it, live it, want more.","Know it, live it, want more.","Know it, live it, want more.","Know it, live it, want more.",,"Know it, live it, want more.","Know it, live it, want more.","Know it, live it, want more.","POE, ModCon, ModCon II, SCOPE"
2/28/2011 12:53:41,2011,"Know it, live it, want more.","Know it, live it, want more.",Please teach me!,"Know it, live it, want more.",Please teach me!,Don't know. Sounds interesting.,Please teach me!,"Know it, live it, want more.","Know it, live it, want more.",Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,"Some of the questions I answered ""know it, love it, etc."" to I know some things about but am not necessarily extremely well-versed in them. I would have taken this class in a heartbeat by the way - sounds awesome.

P.S. I'm assuming modcon II is EDS.","Know it, live it, want more.","Know it, live it, want more.","Know it, live it, want more.","POE, ModCon, ModCon II, SCOPE"
2/28/2011 12:59:26,2011,Don't know. Don't care.,Don't know. Don't care.,Don't know. Don't care.,Don't know. Sounds interesting.,"Know it, live it, want more.",Don't know. Sounds interesting.,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Don't know. Sounds interesting.,Don't know. Don't care.,,Please teach me!,Please teach me!,Please teach me!,"POE, Mech Proto, ModCon, ModCon II, SCOPE"
2/28/2011 13:48:56,2011,Please teach me!,Don't know. Sounds interesting.,Don't know. Sounds interesting.,"Know it, live it, want more.",Don't know. Don't care.,Don't know. Don't care.,Please teach me!,Please teach me!,"Know it, live it, want more.",Don't know. Sounds interesting.,Don't know. Don't care.,Please teach me!,,Don't know. Don't care.,Please teach me!,Don't know. Sounds interesting.,"POE, ModCon, ModCon II, SCOPE"
2/28/2011 17:13:16,2011,Don't know. Sounds interesting.,Don't know. Don't care.,Don't know. Don't care.,Don't know. Don't care.,Don't know. Sounds interesting.,Don't know. Don't care.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Don't care.,Don't know. Don't care.,"For many of the things I don't know, I can't tell whether I would consider them useful or not.  I put them under the don't care category, but there should be three different types of don't know: sounds useful, sounds useless, and can't tell whether it's worthwhile or not.","Know it, live it, want more.",Don't know. Sounds interesting.,Don't know. Don't care.,"POE, ModCon, ModCon II, SCOPE"
2/28/2011 19:11:59,2011,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,"Know it, live it, want more.",Please teach me!,Don't know. Sounds interesting.,Please teach me!,Please teach me!,Don't know. Sounds interesting.,Don't know. Sounds interesting.,,Please teach me!,Please teach me!,Please teach me!,"POE, ModCon, ModCon II, SCOPE"
2/28/2011 20:32:42,2011,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,,Don't know. Sounds interesting.,Please teach me!,Please teach me!,"POE, ModCon, ModCon II, SCOPE"
2/23/2011 23:14:32,2012,Please teach me!,Please teach me!,Please teach me!,"Know it, live it, want more.",Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,"Know it, live it, want more.",,Please teach me!,Please teach me!,"Know it, live it, want more.","POE, ModCon, ModCon II"
2/23/2011 23:17:06,2012,Don't know. Don't care.,Don't know. Don't care.,Don't know. Don't care.,Don't know. Don't care.,"Know it, live it, want more.",Don't know. Sounds interesting.,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Don't know. Sounds interesting.,Please teach me!,General wiring of hardware stuff,Please teach me!,Please teach me!,Please teach me!,"POE, Mech Proto, ModCon, ModCon II, SCOPE, Relevant IS","I'm a RoboE, and I basically know jack about wiring and stuff. Dave mentioned once that he should really teach a Electric Prototyping class because so many SCOPE teams fry expensive electronics by not knowing how to wire stuff.

I could really use this class, or I'm going to be one of those people."
2/23/2011 23:17:25,2012,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Don't care.,Don't know. Sounds interesting.,Please teach me!,Please teach me!,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Don't care.,Don't know. Don't care.,,Don't know. Sounds interesting.,Don't know. Don't care.,Don't know. Sounds interesting.,"POE, ModCon, ModCon II",materials science!  But I think you're totally right that this class should exist.
2/23/2011 23:32:10,2012,"Know it, live it, want more.","Know it, live it, want more.",Don't know. Sounds interesting.,"Know it, live it, want more.","Know it, live it, want more.","Know it, live it, want more.","Know it, live it, want more.",Please teach me!,Don't know. Sounds interesting.,Don't know. Sounds interesting.,"Know it, live it, want more.",Don't know. Sounds interesting.,"Some stuff for making big things:
How to (not) catch your wiring on fire when using large loads
Wiring harnesses
Different types of connectors and when/how to use them
Heat sinks: when, why, how
Battery selection and maintenance

Best practices for waterproof/shockproof/vibration-proof electronics

Common ways of destroying expensive motors/sensors/IC's and how to avoid them

Making electronics look like you didn't make them last night, even if you did (probably falls mostly under the soldering category, but still)",Please teach me!,"Know it, live it, want more.","Know it, live it, want more.","POE, ModCon, ModCon II"
2/23/2011 23:35:10,2012,Don't know. Sounds interesting.,Please teach me!,Don't know. Don't care.,"Know it, useless.",Please teach me!,Please teach me!,Please teach me!,Please teach me!,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Please teach me!,Please teach me!,PLEASE DO THIS BEFORE I GRADUATE,"Know it, live it, want more.",Don't know. Sounds interesting.,Please teach me!,"POE, ModCon, ModCon II"
2/23/2011 23:37:18,2012,"Know it, live it, want more.",Don't know. Sounds interesting.,Don't know. Sounds interesting.,"Know it, live it, want more.",Please teach me!,"Know it, live it, want more.",Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,,Please teach me!,Please teach me!,"Know it, live it, want more.","POE, Mech Proto"
2/23/2011 23:56:15,2012,Please teach me!,Please teach me!,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Please teach me!,Please teach me!,Don't know. Sounds interesting.,Don't know. Sounds interesting.,"Know it, live it, want more.","Know it, live it, want more.",That was a weirdly laid out survey...,Don't know. Sounds interesting.,Please teach me!,Please teach me!,"POE, ModCon, ModCon II","So I'd best be described as a software engineer, but I think it's a big problem that I'm an ECE that barely knows how to use a transistor (despite having taken Circuits). "
2/24/2011 0:17:51,2012,"Know it, live it, want more.","Know it, live it, want more.",Please teach me!,"Know it, live it, want more.","Know it, live it, want more.",Please teach me!,"Know it, live it, want more.","Know it, live it, want more.",Please teach me!,Please teach me!,Please teach me!,Please teach me!,This is a most appreciated idea!,"Know it, live it, want more.",Please teach me!,Please teach me!,"POE, Mech Proto, ModCon, ModCon II, SCOPE, Relevant IS",By EE programming I mean low level. PICs and FPGAs!
2/24/2011 2:10:44,2012,Don't know. Sounds interesting.,Don't know. Sounds interesting.,"Know it, live it, want more.",Don't know. Sounds interesting.,"Know it, live it, want more.",Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,"Sounds very interesting.  Not sure if I'd have time since I have lots of requirements left, but I fully support this.  Would consider depending on the time requirement/level of commitment needed.",Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,"POE, Mech Proto, ModCon, ModCon II"
2/24/2011 14:24:18,2012,Please teach me!,"Know it, live it, want more.",Please teach me!,"Know it, live it, want more.","Know it, live it, want more.",Please teach me!,"Know it, live it, want more.","Know it, live it, want more.",Please teach me!,Please teach me!,"Know it, live it, want more.",Don't know. Sounds interesting.,,"Know it, live it, want more.",Don't know. Sounds interesting.,Please teach me!,"POE, Mech Proto, ModCon, ModCon II, SCOPE, Relevant IS"
2/24/2011 21:16:54,2012,Don't know. Don't care.,Don't know. Don't care.,Don't know. Don't care.,Don't know. Don't care.,Don't know. Sounds interesting.,Don't know. Don't care.,Don't know. Sounds interesting.,Don't know. Don't care.,Don't know. Don't care.,Don't know. Sounds interesting.,Don't know. Don't care.,Don't know. Don't care.,,Don't know. Don't care.,Don't know. Don't care.,Don't know. Sounds interesting.,"POE, ModCon, ModCon II, SCOPE",BIO! BECAUSE IT'S AWESOME!
2/24/2011 21:18:31,2012,Don't know. Don't care.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Don't care.,,Please teach me!,Don't know. Sounds interesting.,Don't know. Sounds interesting.,"POE, Mech Proto, ModCon, ModCon II"
2/24/2011 21:18:57,2012,Please teach me!,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Please teach me!,Please teach me!,Don't know. Sounds interesting.,Please teach me!,Please teach me!,Please teach me!,Cool stuff! I would have loved this class freshman year.,Please teach me!,Please teach me!,Please teach me!,"POE, ModCon"
2/24/2011 21:59:32,2012,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,,Please teach me!,Please teach me!,Please teach me!,"POE, ModCon, ModCon II"
2/25/2011 23:19:56,2012,"Know it, live it, want more.","Know it, live it, want more.","Know it, live it, want more.","Know it, live it, want more.","Know it, live it, want more.","Know it, live it, want more.","Know it, live it, want more.","Know it, live it, want more.","Know it, live it, want more.","Know it, live it, want more.","Know it, live it, want more.","Know it, live it, want more.",,"Know it, live it, want more.","Know it, live it, want more.","Know it, live it, want more.","POE, ModCon, ModCon II",DO IT!
2/23/2011 23:13:56,2013,"Know it, live it, want more.","Know it, live it, want more.",Don't know. Sounds interesting.,Don't know. Sounds interesting.,Please teach me!,"Know it, useless.","Know it, useless.",Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,,"Know it, useless.",Don't know. Sounds interesting.,Don't know. Sounds interesting.,"POE, ModCon, ModCon II"
2/23/2011 23:14:02,2013,Don't know. Don't care.,Don't know. Sounds interesting.,Don't know. Don't care.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Please teach me!,Please teach me!,Don't know. Sounds interesting.,Please teach me!,Please teach me!,Don't know. Sounds interesting.,Don't know. Sounds interesting.,"I would be interested in an emphasis on very practical, low-level things (ie: reading datasheets, using equipment properly).",Don't know. Don't care.,Don't know. Sounds interesting.,Please teach me!,"POE, ModCon, ModCon II"
2/23/2011 23:14:49,2013,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,"Know it, live it, want more.",Please teach me!,"Know it, live it, want more.","Know it, live it, want more.",Please teach me!,Please teach me!,,Please teach me!,Please teach me!,Please teach me!,"POE, ModCon, ModCon II"
2/23/2011 23:14:57,2013,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,,Please teach me!,Please teach me!,Please teach me!,"POE, ModCon, ModCon II"
2/23/2011 23:25:23,2013,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,"Know it, live it, want more.",Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,"POE, ModCon, ModCon II"
2/23/2011 23:26:29,2013,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Please teach me!,Don't know. Sounds interesting.,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Don't know. Sounds interesting.,Don't know. Sounds interesting.,"You should watch out about the different quadrants on the skill/no skill, excited/low interest 2x2. Where is the class targeted. Also, does this go towards ECE/EwithC degrees?",Please teach me!,Don't know. Sounds interesting.,Don't know. Sounds interesting.,"ModCon, ModCon II",Guaranteed to change
2/23/2011 23:26:35,2013,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Absolutely. It needs to be done.,Please teach me!,Please teach me!,Please teach me!,"POE, Mech Proto, ModCon, ModCon II"
2/23/2011 23:31:04,2013,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Please teach me!,Don't know. Sounds interesting.,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Don't know. Sounds interesting.,,Please teach me!,Don't know. Sounds interesting.,Please teach me!,"Mech Proto, ModCon, ModCon II"
2/23/2011 23:37:37,2013,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Please teach me!,Don't know. Sounds interesting.,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Don't know. Sounds interesting.,Don't know. Sounds interesting.,"It might be interesting to learn a bunch of different circuits and how and why they are useful.  I may have studied different kinds of circuits, but I have no idea how I would build a circuit for, let's say, PoE that is not one of the few we've learned.",Please teach me!,Don't know. Sounds interesting.,Don't know. Sounds interesting.,"POE, ModCon, ModCon II"
2/23/2011 23:37:40,2013,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Please teach me!,Don't know. Sounds interesting.,,Don't know. Don't care.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,"POE, Mech Proto, ModCon, ModCon II"
2/24/2011 0:05:23,2013,Don't know. Don't care.,Don't know. Don't care.,Don't know. Don't care.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Don't care.,Don't know. Don't care.,"sounds worthwhile
not sure i would take it, but mostly for time and non-major reasons",Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,"POE, ModCon, ModCon II",environment-y things -- energy efficient ways to do stuff!
2/24/2011 0:07:50,2013,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Please teach me!,Please teach me!,Please teach me!,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Please teach me!,Please teach me!,Please teach me!,Please teach me!,"not sure if this is the proper scale - at least in terms of ranking what I would most like to learn;
this sounds like a great idea - best of luck + thanks so much for proposing it...",Don't know. Sounds interesting.,Don't know. Sounds interesting.,Please teach me!,"Mech Proto, ModCon, ModCon II",biomechanics 
2/24/2011 0:11:53,2013,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,,Please teach me!,Please teach me!,Please teach me!,"POE, ModCon, ModCon II"
2/24/2011 0:19:17,2013,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Don't care.,Please teach me!,Don't know. Sounds interesting.,Please teach me!,Please teach me!,Please teach me!,Please teach me!,,Please teach me!,Don't know. Sounds interesting.,Don't know. Sounds interesting.,"POE, ModCon, ModCon II"
2/24/2011 0:28:19,2013,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,"Sounds awesome! I think it would be important to make sure that, like Mech Proto, it doesn't require any experience beforehand. The focus should be learning, not stressing out over stuff.",Please teach me!,Please teach me!,Please teach me!,"POE, Mech Proto, ModCon, ModCon II","I would love it if this class actually got offered. Seriously, it's a really cool idea.

Regarding the previous question, I don't think I can really say I'm passionate about circuits and all that other stuff because I've had such limited exposure to them. However, I'm definitely eager to learn."
2/24/2011 0:55:16,2013,"Know it, live it, want more.",Please teach me!,Don't know. Sounds interesting.,Please teach me!,Don't know. Sounds interesting.,Please teach me!,Don't know. Sounds interesting.,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,,"Know it, live it, want more.",Don't know. Sounds interesting.,Please teach me!,"POE, ModCon, ModCon II"
2/24/2011 1:07:01,2013,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,"How much of this is covered in circuits, out of curiosity?
especially useful, the stuff on where to go when it doesn't work",Please teach me!,Please teach me!,Don't know. Sounds interesting.,"POE, ModCon, ModCon II"
2/24/2011 9:50:55,2013,Please teach me!,"Know it, live it, want more.","Know it, live it, want more.","Know it, live it, want more.","Know it, live it, want more.","Know it, live it, want more.","Know it, live it, want more.",Please teach me!,Please teach me!,Please teach me!,"Know it, live it, want more.",Please teach me!,"It sounds good, and useful to any of us who are in between doing classes like PoE or Computing & Craft, but also cannot just sit there and prototype in the space of a few hours.  ","Know it, live it, want more.",Please teach me!,Please teach me!,"POE, ModCon, ModCon II"
2/24/2011 21:20:54,2013,Don't know. Don't care.,Don't know. Don't care.,Don't know. Don't care.,Don't know. Don't care.,Don't know. Don't care.,Don't know. Don't care.,Don't know. Don't care.,Don't know. Don't care.,Don't know. Don't care.,Don't know. Don't care.,Don't know. Don't care.,Don't know. Don't care.,,Don't know. Don't care.,Don't know. Don't care.,Don't know. Don't care.,"ModCon, ModCon II",Bioengineering! :D
2/24/2011 21:50:13,2013,Don't know. Sounds interesting.,Don't know. Don't care.,Don't know. Don't care.,Don't know. Sounds interesting.,Please teach me!,Please teach me!,Please teach me!,Don't know. Sounds interesting.,Please teach me!,Don't know. Sounds interesting.,Don't know. Sounds interesting.,"Know it, live it, want more.",I'd take this class!,"Know it, live it, want more.",Please teach me!,Please teach me!,"POE, Mech Proto, ModCon, ModCon II",You're awesome. Keep doing what you're doing.
2/24/2011 21:53:26,2013,Please teach me!,Don't know. Sounds interesting.,Please teach me!,Don't know. Sounds interesting.,"Know it, useless.","Know it, useless.",Don't know. Sounds interesting.,"Know it, live it, want more.","Know it, live it, want more.","Know it, live it, want more.",Please teach me!,"Know it, useless.",,Don't know. Sounds interesting.,"Know it, useless.",Don't know. Sounds interesting.,"POE, ModCon, ModCon II, Relevant IS","Intersection of electrical engineering, physics, and materials science. The really low level ""this is how all this electronics stuff works."""
2/24/2011 21:58:26,2013,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,,Please teach me!,Please teach me!,Please teach me!,"POE, ModCon, ModCon II"
2/24/2011 22:31:43,2013,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,,Please teach me!,Please teach me!,Please teach me!,"POE, ModCon, ModCon II"
